Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
荣耀,MagicBook14,3799,,,16G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010816812.html,0,0,R5, ,0,14,50000,94
联想,小新Air14,4999,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100011386554.html,0,1,i5, ,0,,40000,93
联想,小新Pro13,4498,,,16G,512G, ,联想京东自营旗舰店,1, ,1,//item.jd.com/100005171461.html,0,0,R5, ,0,,160000,92
戴尔,灵越5000,4299,,,8G,512G,MX230,戴尔京东自营官方旗舰店,1,2G,0,//item.jd.com/100006546527.html,0,1,i5,十代,0,14,10000,92
联想,小新Air14,3999,,,16G,512G, ,联想京东自营旗舰店,1, ,0,//item.jd.com/100007218425.html,0,0,R5, ,0,,20000,96
惠普,战66,4699,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100006893703.html,0,0,R7,三代,0,14,2200,97
联想,威6,4499,,,8G,512G, ,联想扬天京东自营旗舰店,1,2G,0,//item.jd.com/100010370676.html,0,1,i5,十代,0,14,20000,94
华为,MateBookD,4299,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100010879626.html,0,0,R5, ,0,14,30000,93
荣耀,MagicBook14,3299,,,8G,256G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100012445728.html,0,0,R5, ,0,14,9500,94
联想,拯救者R7000,5699,,,16G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100012885246.html,0,0,R5, ,0,15.6,10000,97
联想,小新15,5099,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100011773090.html,0,1,i5,十代,0,15.6,10000,95
联想,小新Pro13,5699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100006487373.html,0,1,i5, ,0,,20000,95
荣耀,MagicBookPro,4299,,,16G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100004563443.html,0,0,R5, ,0,16.1,30000,92
戴尔,灵越5000fit,5599,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100007539330.html,0,1,i5,十代,0,14,20000,90
RedmiBook,RedmiBook14,3999,,,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100004508927.html,0,1,i5,十代,0,,30000,91
荣耀,MagicBook15,3899,,,16G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100006008837.html,0,0,R5, ,0,15.6,10000,94
联想,ThinkBook14,4999,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100010370680.html,0,1,i5,十代,0,14,10000,94
华为,MateBookD,4299,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100013291000.html,0,0,R5, ,0,15.6,900,94
华为,MateBookD,4299,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100010879608.html,0,0,R5, ,0,14,3600,93
联想,小新Air14,5899,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100006295053.html,0,1,i7, ,0,,8000,93
华为,MateBook13,4699,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100011045982.html,0,2,R5, ,0,,20000,92
华硕,破晓7,4479,2000,5,16G,512G, ,华硕电脑官方旗舰店,0,2G,1,//item.jd.com/28206239565.html,0,1,i7, ,0,15.6,30000,97
华为,MateBook14,6388,,,16G,512G,MX350,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012950506.html,0,0,i5,十代,1,,3300,92
联想,拯救者R7000,6099,,,16G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100012885264.html,0,0,R7, ,0,15.6,10000,97
戴尔,灵越5000,4269,,,8G,512G,MX230,戴尔京东自营官方旗舰店,1,2G,0,//item.jd.com/100011847382.html,0,1,i5,十代,0,15.6,2900,91
华为,MateBook13,5988,,,16G,512G,MX250,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100011177202.html,0,0,i5,十代,1,,10000,94
RedmiBook,RedmiBook14,3299,,,8G,512G, ,小米京东自营旗舰店,1, ,1,//item.jd.com/100005188613.html,0,0,R5, ,0,,30000,92
戴尔,游匣G3,4999,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100005724680.html,0,0,i5,九代,0,15.6,60000,90
联想,拯救者Y7000P,6999,,,16G,1024G,GTX1660,联想京东自营旗舰店,1, ,1,//item.jd.com/100006288375.html,0,0,i5, ,0,15.6,10000,94
惠普,星14,3499,,,8G,256G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100010409532.html,0,0,R5, ,0,14,10000,93
小米,Ruby,3799,,,8G,512G, ,小米京东自营旗舰店,1,2G,1,//item.jd.com/100004364088.html,0,1,R5, ,0,15.6,40000,94
RedmiBook,RedmiBook,2999,300,,4G,256G, ,小米京东自营旗舰店,1, ,1,//item.jd.com/100006757410.html,0,0,i3, ,0,14,10000,94
联想,拯救者Y7000,5999,,,16G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100007045421.html,0,0,i5,十代,0,15.6,6100,98
宏碁,S40,4199,,,8G,512G,MX350,宏碁京东自营旗舰店,1,2G,1,//item.jd.com/100012481694.html,0,1,i5,十代,0,14,3300,95
华硕,ASUS,6999,,,8G,512G, ,华硕京东自营官方旗舰店,1,6G,1,//item.jd.com/100006460635.html,0,0,R7, ,0,15.6,10000,98
华为,MateBook14,7388,,,16G,512G,MX350,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012950554.html,0,0,i7,十代,1,,2000,93
华为,MateBook14,6388,,,16G,512G,MX350,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012950510.html,0,0,i5,十代,1,,3200,96
戴尔,灵越7000-7591,6888,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100003406361.html,0,0,i7,九代,0,15.6,10000,90
惠普,战66,4099,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100006893701.html,0,0,R5,三代,0,14,1300,97
联想,X395,4599,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100007317132.html,0,0,R7, ,0,13.3,20000,92
华硕,飞行堡垒7,4979,2000,5,8G,512G, ,华硕电脑官方旗舰店,0, ,0,//item.jd.com/26848709806.html,0,0,R5, ,0,15.6,10000,97
惠普,战66,4299,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100012583158.html,0,0,R5,三代,0,14,3300,96
联想,拯救者Y7000,4999,3000,100,8G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100006288373.html,0,0,i5, ,0,15.6,10000,94
联想,E14,4999,5000,100,8G,1152G, ,ThinkPad京东官方自营旗舰店,1, ,0,//item.jd.com/69501333277.html,0,1,i5,十代,0,14,1500,98
联想,,6999,,,16G,512G, ,联想京东自营旗舰店,1, ,0,//item.jd.com/100007443967.html,0,0,i5,十代,1,13,0,100
惠普,暗影精灵5,5999,,,8G,512G,GTX1650,惠普京东自营官方旗舰店,1,4G,1,//item.jd.com/100005603836.html,0,1,i5, ,0,15.6,40000,94
Apple,MacBookAir,5399,,,8G,128G, ,Apple产品京东自营旗舰店,1, ,0,//item.jd.com/5225346.html,0,0,i5, ,0,,150000,98
华为,MateBookD,5388,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006051933.html,0,1,i5, ,0,,6200,93
联想,E490,4799,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/100004915731.html,0,1,i5, ,0,14,10000,92
华硕,VivoBook15,3999,,,8G,512G,MX330,华硕京东自营官方旗舰店,1,2G,0,//item.jd.com/100013119078.html,0,1,i5,十代,0,15.6,4900,90
惠普,战66,3799,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100012516428.html,0,0,R5,三代,0,15.6,2100,97
宏碁,R5-4500U,3999,,,16G,512G, ,宏碁京东自营旗舰店,1,8G,1,//item.jd.com/100006461093.html,0,0,R5, ,0,14,3600,94
宏碁,EX215,2089,,,4G,128G, ,宏碁商用京东自营旗舰店,1, ,0,//item.jd.com/100004049003.html,0,0,, ,0,15.6,3400,95
惠普,暗影精灵5,5799,,,8G,512G,GTX1650,惠普京东自营官方旗舰店,1,4G,1,//item.jd.com/100005546845.html,0,1,i5, ,0,15.6,5200,93
联想,拯救者R7000,6099,,,16G,512G,GTX1650,联想京东自营旗舰店,1, ,0,//item.jd.com/100012885262.html,0,0,R5, ,0,15.6,2200,96
戴尔,金属超级本灵越5390/5391,3479,,,4G,128G, ,戴尔卓越专卖店,0, ,0,//item.jd.com/24877362143.html,0,0,i3, ,0,13.3,8400,99
戴尔,灵越5000,6799,,,8G,1024G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100007539322.html,0,1,i7,十代,0,14,10000,91
华硕,ASUS,3599,,,8G,512G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100012039000.html,0,0,R7,六代,0,15.6,3500,87
惠普,战66,3999,,,8G,512G, ,惠普京东自营官方旗舰店,1,8G,0,//item.jd.com/100013312594.html,0,0,R5,三代,0,15.6,400,99
惠普,星14青春版,1999,2000,300,8G,256G, ,惠普赞晓专卖店,0, ,0,//item.jd.com/26877580262.html,0,0,, ,0,14,4000,99
联想,小新Pro13,5699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100012082340.html,0,1,i5,十代,0,,6300,95
联想,小新Pro13,6699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100011773072.html,0,1,i7, ,0,,5700,90
荣耀,MagicBookPro,5599,,,16G,512G,MX350,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100013171828.html,0,0,i5,十代,0,16.1,2000,94
联想,小新Air14,3199,3499,300,8G,256G, ,联想率秀图新授权专卖店,0, ,0,//item.jd.com/57773460022.html,0,0,R5, ,0,,6000,95
荣耀,MagicBookPro,6299,,,16G,512G,MX350,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007187885.html,0,0,i7,十代,0,16.1,1200,96
戴尔,灵越5000,6399,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100004365311.html,0,1,i7,十代,0,14,7000,92
荣耀,MagicBookPro,5199,,,16G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007818806.html,0,0,i5, ,0,16.1,10000,93
联想,T495,4999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100005729171.html,0,0,R5, ,0,14,6700,96
联想,小新Air14,3499,,,8G,256G, ,联想华北授权专卖店,0, ,0,//item.jd.com/47878949721.html,0,0,R5, ,0,,10000,94
RedmiBook,RedmiBook16,3799,,,16G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100013171136.html,0,0,R5, ,0,,800,91
联想,E490,3999,,,8G,1152G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/100001762851.html,0,1,i5, ,0,14,5100,94
华为,MateBook13,5988,,,16G,512G,MX250,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006189291.html,0,0,i5,十代,1,13,2700,96
华硕,ASUS,5899,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100006460637.html,0,0,R7, ,0,15.6,2200,97
华为,MateBookD,3999,,,8G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006013745.html,0,0,R5, ,0,14,1200,93
联想,E480,2899,,,8G,256G, ,ThinkPad华东授权专卖店,0,2G,0,//item.jd.com/25168769082.html,0,1,i3, ,0,14,2500,94
联想,E490,3299,,,8G,256G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100012675410.html,0,0,i3, ,0,14,700,96
联想,E495,3799,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100011213626.html,0,0,R5, ,0,14,7300,94
联想,E480,5299,,,8G,1152G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/6076609.html,0,1,i7, ,0,14,30000,97
联想,ThinkBook15,6399,,,16G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100005772313.html,0,0,i7,十代,0,15.6,2200,91
华为,MateBook14,7388,,,16G,512G,MX350,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100007078171.html,0,0,i7,十代,1,,1700,91
RedmiBook,RedmiBook,4399,,,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100010429536.html,0,1,i5,十代,0,13,9700,91
联想,E495,3289,,,8G,256G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100011513428.html,0,0,R5, ,0,14,2300,94
联想,T420,1269,,,1G,256G, ,吉祥星二手商品专营店,0,8G,0,//item.jd.com/35609855267.html,1,1,i5, ,0,14,1900,97
